word,category
fuck,profanity
shit,profanity
bitch,profanity
ass,profanity
damn,profanity
hell,profanity
piss,profanity
cock,profanity
dick,profanity
pussy,profanity
cunt,profanity
whore,profanity
slut,profanity
bastard,profanity
motherfucker,profanity
fucker,profanity
fucking,profanity
shitty,profanity
asshole,profanity
dumbass,profanity
jackass,profanity
smartass,profanity
hardass,profanity
badass,profanity
fatass,profanity
lazyass,profanity
stupidass,profanity
dumbass,profanity
smartass,profanity
hardass,profanity
badass,profanity
fatass,profanity
lazyass,profanity
stupidass,profanity
nigger,hate_speech
faggot,hate_speech
fag,hate_speech
dyke,hate_speech
kike,hate_speech
spic,hate_speech
wetback,hate_speech
chink,hate_speech
gook,hate_speech
jap,hate_speech
wop,hate_speech
dago,hate_speech
kraut,hate_speech
hunky,hate_speech
polack,hate_speech
mick,hate_speech
paddy,hate_speech
taffy,hate_speech
jock,hate_speech
redneck,hate_speech
hillbilly,hate_speech
whitey,hate_speech
honky,hate_speech
cracker,hate_speech
redskin,hate_speech
squaw,hate_speech
papoose,hate_speech
halfbreed,hate_speech
mulatto,hate_speech
mestizo,hate_speech
creole,hate_speech
quadroon,hate_speech
octoroon,hate_speech
kill,threats
murder,threats
death,threats
die,threats
suicide,threats
bomb,threats
explode,threats
shoot,threats
gun,threats
knife,threats
stab,threats
punch,threats
hit,threats
beat,threats
fight,threats
attack,threats
assault,threats
rape,threats
torture,threats
burn,threats
drown,threats
hang,threats
strangle,threats
poison,threats
suffocate,threats
crush,threats
smash,threats
destroy,threats
annihilate,threats
exterminate,threats
eliminate,threats
terminate,threats
eradicate,threats
buy,spam
sell,spam
discount,spam
offer,spam
deal,spam
sale,spam
free,spam
money,spam
cash,spam
earn,spam
income,spam
profit,spam
investment,spam
bitcoin,spam
crypto,spam
cryptocurrency,spam
nft,spam
token,spam
coin,spam
wallet,spam
exchange,spam
trading,spam
forex,spam
stock,spam
shares,spam
dividend,spam
interest,spam
loan,spam
credit,spam
debt,spam
mortgage,spam
insurance,spam
warranty,spam
stupid,general
idiot,general
moron,general
retard,general
dumb,general
ignorant,general
fool,general
clown,general
jerk,general
loser,general
pathetic,general
worthless,general
useless,general
hopeless,general
disgusting,general
nasty,general
gross,general
vile,general
filthy,general
dirty,general
ugly,general
hideous,general
repulsive,general
revolting,general
sick,general
disgusting,general
nauseating,general
vomit,general
puke,general
barf,general
gag,general
retch,general
heave,general
fck,profanity
fuk,profanity
fuq,profanity
f*ck,profanity
f**k,profanity
f***,profanity
sh*t,profanity
s**t,profanity
s***,profanity
b*tch,profanity
b**ch,profanity
b***h,profanity
a**hole,profanity
a**h***,profanity
d*ck,profanity
d**k,profanity
d***,profanity
p*ssy,profanity
p**sy,profanity
p***y,profanity
c*nt,profanity
c**t,profanity
c***,profanity
n*gger,hate_speech
n**ger,hate_speech
n***er,hate_speech
f*ggot,hate_speech
f**got,hate_speech
f***ot,hate_speech
d*ke,hate_speech
d**e,hate_speech
k*ke,hate_speech
k**e,hate_speech
sp*c,hate_speech
s**c,hate_speech
ch*nk,hate_speech
c**nk,hate_speech
g**k,hate_speech
wtf,profanity
omg,profanity
lol,general
rofl,general
lmfao,profanity
stfu,profanity
gtfo,profanity
fml,profanity
smh,general
tbh,general
imo,general
imho,general
afaik,general
btw,general
fyi,general
idk,general
ttyl,general
brb,general
afk,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
irl,general
